2026-09-06 17:04:10,871 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-06 17:04:11,390 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 17:04:11,390 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'Advanced RAG', traces at https://smith.langchain.com
2026-09-06 17:04:11,390 | INFO | hr_assistant.pipeline | Building vector store for documents at data\hr_policy.txt...
2026-09-06 17:04:11,392 | INFO | hr_assistant.vector_store | Checking if Qdrant vector store exists...
2026-09-06 17:04:12,415 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 17:04:12,418 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/exists "HTTP/1.1 200 OK"
2026-09-06 17:04:12,423 | INFO | hr_assistant.pipeline | Vector store already exists. Skipping creation.
2026-09-06 17:04:12,423 | INFO | hr_assistant.vector_store | Loading Qdrant vector store ...
2026-09-06 17:04:12,423 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 17:04:12,426 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 17:04:12,426 | INFO | hr_assistant.vector_store | Qdrant vector store loaded.
2026-09-06 17:04:13,502 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection "HTTP/1.1 200 OK"
2026-09-06 17:04:13,504 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 17:04:14,259 | INFO | hr_assistant.vector_store | Getting retriever from FAISS vector store with top_k=5...
2026-09-06 17:04:14,259 | INFO | hr_assistant.llm | Initializing LLm via PortKey...
2026-09-06 17:04:17,876 | INFO | hr_assistant.gateway | ChatOpenAI instance created with Portkey gateway.
2026-09-06 17:04:17,876 | INFO | hr_assistant.llm | ChatGroq model initialized successfully.
2026-09-06 17:04:17,910 | INFO | hr_assistant.agent | Creating HR agent...
